model,source,base,dataset,N,topk,steering_type,rf_type,pass_rate
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,1,1.0,mean,w_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,1,1.0,mean,wo_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,1,1.0,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,1,1.0,positional,wo_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.01,last-token,w_rf,0.24
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.01,last-token,wo_rf,0.24
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.01,mean,w_rf,0.32
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.01,mean,wo_rf,0.32
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.01,positional,w_rf,0.22
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.01,positional,wo_rf,0.22
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.03,last-token,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.03,last-token,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.03,mean,w_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.03,mean,wo_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.03,positional,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.03,positional,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.05,last-token,w_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.05,last-token,wo_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.05,mean,w_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.05,mean,wo_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.05,positional,w_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.05,positional,wo_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.08,last-token,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.08,last-token,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.08,mean,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.08,mean,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.08,positional,w_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.08,positional,wo_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.1,last-token,w_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.1,last-token,wo_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.1,mean,w_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.1,mean,wo_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.1,positional,w_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.1,positional,wo_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.5,last-token,w_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.5,last-token,wo_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.5,mean,w_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.5,mean,wo_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.5,positional,w_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,0.5,positional,wo_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,1.0,last-token,w_rf,0.18
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,1.0,last-token,wo_rf,0.22
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,1.0,mean,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,1.0,mean,wo_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,1.0,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,3,1.0,positional,wo_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.01,last-token,w_rf,0.2
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.01,last-token,wo_rf,0.2
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.01,mean,w_rf,0.42
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.01,mean,wo_rf,0.42
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.01,positional,w_rf,0.36
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.01,positional,wo_rf,0.36
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.03,last-token,w_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.03,last-token,wo_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.03,mean,w_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.03,mean,wo_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.03,positional,w_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.03,positional,wo_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.05,last-token,w_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.05,last-token,wo_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.05,mean,w_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.05,mean,wo_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.05,positional,w_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.05,positional,wo_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.08,last-token,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.08,last-token,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.08,mean,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.08,mean,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.08,positional,w_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.08,positional,wo_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.1,last-token,w_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.1,last-token,wo_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.1,mean,w_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.1,mean,wo_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.1,positional,w_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.1,positional,wo_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.5,last-token,w_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.5,last-token,wo_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.5,mean,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.5,mean,wo_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.5,positional,w_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,0.5,positional,wo_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,1.0,last-token,w_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,1.0,last-token,wo_rf,0.16
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,1.0,mean,w_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,1.0,mean,wo_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,1.0,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,5,1.0,positional,wo_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.01,last-token,w_rf,0.24
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.01,last-token,wo_rf,0.24
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.01,mean,w_rf,0.42
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.01,mean,wo_rf,0.42
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.01,positional,w_rf,0.3
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.01,positional,wo_rf,0.3
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.03,last-token,w_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.03,last-token,wo_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.03,mean,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.03,mean,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.03,positional,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.03,positional,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.05,last-token,w_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.05,last-token,wo_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.05,mean,w_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.05,mean,wo_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.05,positional,w_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.05,positional,wo_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.08,last-token,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.08,last-token,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.08,mean,w_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.08,mean,wo_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.08,positional,w_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.08,positional,wo_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.1,last-token,w_rf,0.16
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.1,last-token,wo_rf,0.16
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.1,mean,w_rf,0.2
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.1,mean,wo_rf,0.2
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.1,positional,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.1,positional,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.5,last-token,w_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.5,last-token,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.5,mean,w_rf,0.04
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.5,mean,wo_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.5,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,0.5,positional,wo_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,1.0,last-token,w_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,1.0,last-token,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,1.0,mean,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,1.0,mean,wo_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,1.0,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,8,1.0,positional,wo_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.01,last-token,w_rf,0.3
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.01,last-token,wo_rf,0.3
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.01,mean,w_rf,0.32
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.01,mean,wo_rf,0.32
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.01,positional,w_rf,0.34
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.01,positional,wo_rf,0.34
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.03,last-token,w_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.03,last-token,wo_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.03,mean,w_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.03,mean,wo_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.03,positional,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.03,positional,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.05,last-token,w_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.05,last-token,wo_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.05,mean,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.05,mean,wo_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.05,positional,w_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.05,positional,wo_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.08,last-token,w_rf,0.2
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.08,last-token,wo_rf,0.2
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.08,mean,w_rf,0.12
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.08,mean,wo_rf,0.14
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.08,positional,w_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.08,positional,wo_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.1,last-token,w_rf,0.2
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.1,last-token,wo_rf,0.2
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.1,mean,w_rf,0.2
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.1,mean,wo_rf,0.22
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.1,positional,w_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.1,positional,wo_rf,0.08
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.5,last-token,w_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.5,last-token,wo_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.5,mean,w_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.5,mean,wo_rf,0.1
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.5,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,0.5,positional,wo_rf,0.06
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,1.0,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,1.0,last-token,wo_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,1.0,mean,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,1.0,mean,wo_rf,0.02
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,1.0,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,paragraph-long,sentence,paragraph-long → sentence,10,1.0,positional,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.01,last-token,w_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.01,last-token,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.01,mean,w_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.01,mean,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.01,positional,w_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.01,positional,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.03,last-token,w_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.03,last-token,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.03,mean,w_rf,0.02
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.03,mean,wo_rf,0.02
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.03,positional,w_rf,0.06
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.03,positional,wo_rf,0.06
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.05,last-token,w_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.05,last-token,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.05,mean,w_rf,0.06
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.05,mean,wo_rf,0.06
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.05,positional,w_rf,0.08
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.05,positional,wo_rf,0.08
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.08,last-token,w_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.08,last-token,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.08,mean,w_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.08,mean,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.08,positional,w_rf,0.06
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.08,positional,wo_rf,0.06
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.1,last-token,w_rf,0.02
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.1,last-token,wo_rf,0.02
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.1,mean,w_rf,0.02
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.1,mean,wo_rf,0.02
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.1,positional,w_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.1,positional,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.5,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.5,last-token,wo_rf,0.0
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.5,mean,w_rf,0.0
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.5,mean,wo_rf,0.0
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.5,positional,w_rf,0.12
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,0.5,positional,wo_rf,0.12
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,1.0,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,1.0,last-token,wo_rf,0.0
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,1.0,mean,w_rf,0.02
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,1.0,mean,wo_rf,0.02
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,1.0,positional,w_rf,0.2
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,1,1.0,positional,wo_rf,0.2
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.01,last-token,w_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.01,last-token,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.01,mean,w_rf,0.06
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.01,mean,wo_rf,0.06
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.01,positional,w_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.01,positional,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.03,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.03,last-token,wo_rf,0.0
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.03,mean,w_rf,0.02
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.03,mean,wo_rf,0.02
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.03,positional,w_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.03,positional,wo_rf,0.04
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.05,last-token,w_rf,0.08
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.05,last-token,wo_rf,0.08
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.05,mean,w_rf,0.0
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.05,mean,wo_rf,0.0
OLMo-2-1124-13B-DPO,sycophancy-long,non-sycophantic,sycophancy-long → non-sycophantic,3,0.05,positional,w_rf,0.04
